fileName;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;
Entscheid versenden - Baugesuch (7.8).bpmn;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;
EZAG aufgeben.bpmn;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;false;true;true;true;true;false;true;true;true;true;true;true;false;false;true;true;true;true;false;
Fakultatives Referendum durchführen.bpmn;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;false;true;false;true;true;true;true;true;true;true;false;true;true;true;true;true;false;
Ferienanspruch kürzen.bpmn;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;false;false;true;true;true;true;true;true;true;true;true;true;true;
Fortsetzungsbegehren bearbeiten.bpmn;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;false;true;true;true;false;false;true;false;true;true;true;true;false;true;false;true;true;true;true;
Freipositionen besetzen.bpmn;true;true;true;false;true;true;true;true;true;true;true;false;true;true;true;true;true;false;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;false;false;true;true;true;true;
Geschäft in Vorberatender Kommission beraten.bpmn;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;false;false;false;true;true;true;true;true;true;true;false;false;true;true;true;true;false;
Gesuch für Gastwirtschaftspatent bearbeiten.bpmn;true;true;true;false;true;true;true;true;true;true;true;false;true;true;true;true;true;false;true;true;true;false;true;true;true;false;false;true;false;true;true;true;true;false;false;false;true;true;true;true;
Gesuch um Ausnahme ordentliche Schliessungszeit bearbeiten.bpmn;true;true;true;false;true;true;true;true;true;true;true;false;true;false;true;false;true;false;true;true;true;false;true;true;false;false;false;true;false;true;true;true;true;false;false;false;true;true;true;true;
Gesuchsverfahren abschliessen - Baugesuch (7.9).bpmn;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;false;true;true;true;true;true;true;true;true;false;false;true;true;true;true;false;
Grossveranstaltung_ Bewilligungsvereinbarung erstellen.bpmn;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;false;true;false;true;false;false;true;true;true;true;true;true;true;true;true;true;true;true;false;
Güter beschaffen.bpmn;true;true;true;false;true;true;true;true;true;true;true;false;true;true;true;true;true;false;true;true;false;true;true;true;false;true;false;true;true;true;true;true;true;false;false;true;true;true;true;false;
ikt-anforderung_pruefen_workflow_gever.bpmn.xml;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;false;true;true;true;false;true;false;true;true;true;true;true;true;false;true;true;true;true;true;false;
Integrierten Aufgaben- und Finanzplan nachbearbeiten.bpmn;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;false;true;false;false;false;true;true;true;true;true;true;true;false;true;true;true;true;true;false;
Integrierten Aufgaben- und Finanzplan vorbereiten.bpmn;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;false;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;false;
Integrierten Aufgaben- und Finanzplan überarbeiten (nach 1. Lesung).bpmn;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;false;false;false;true;true;true;true;true;true;true;false;true;true;true;true;true;false;
Integrierten Aufgaben- und Finanzplan überarbeiten (nach 2. Lesung).bpmn;true;true;true;false;true;true;true;true;true;true;true;false;true;true;true;true;true;false;true;true;true;false;true;false;false;false;false;true;true;true;true;true;true;true;false;true;true;true;true;false;
Integrierten Aufgaben- und Finanzplan überarbeiten (nach Schlusslesung).bpmn;true;true;true;false;true;true;true;true;true;true;true;false;true;true;true;true;true;false;true;true;true;false;true;false;false;false;false;true;true;true;true;true;true;true;false;true;true;true;true;false;
Interpellation beantworten.bpmn;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;false;true;true;true;true;true;true;true;false;true;true;true;true;true;false;
Kostengutsprache bearbeiten.bpmn;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;false;true;true;true;false;false;true;false;true;true;true;true;true;true;false;true;true;true;true;
Kostengutsprache vergüten.bpmn;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;false;false;false;true;false;true;true;true;true;true;true;false;true;true;true;true;
Kreditoren-Rechnungen erfassen.bpmn;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;false;true;false;true;false;false;true;true;true;true;true;true;false;true;true;true;true;true;false;
Leistungsvereinbarung visieren.bpmn;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;false;false;true;false;true;false;false;true;true;true;true;true;true;true;true;true;true;true;true;false;
Medienanfrage behandeln.bpmn;true;true;true;false;true;true;true;true;false;true;true;true;true;true;true;true;true;false;true;true;true;false;true;false;true;false;false;true;true;true;true;true;true;false;true;true;true;true;true;false;
